transaction_id,client,date,categorie,montant
T0064,Daniel Jarvis,2023-03-10,Vêtements,393.65
T0065,Derek Johnston,2023-05-07,Électronique,179.75
T0066,Samuel Palmer,2023-04-06,Maison,230.33
T0067,Jose Martinez,2023-06-15,Maison,164.99
T0068,Amy Walker,2023-06-10,Vêtements,111.7
T0069,Henry Bryan,2023-04-10,Vêtements,65.49
T0070,Peter Johnson,2023-05-19,Livres,299.87
T0071,Monica Monroe,2023-01-15,Jeux,457.5
T0072,Gabriella Terry,2023-01-03,Vêtements,23.26
T0073,Jason Choi,2023-04-23,Jeux,46.82
T0074,Cynthia Harris,2023-04-01,Jeux,268.94
T0075,Jim Kelly,2023-01-09,Livres,199.85
T0076,Lisa Young,2023-03-03,Livres,110.35
T0077,Sarah Forbes,2023-06-14,Maison,118.19
T0078,Heidi Mullen,2023-06-30,Maison,239.42
T0079,Cindy Gordon,2023-02-28,Livres,393.34
T0080,Wanda Adams,2023-05-29,Livres,238.74
T0081,Brenda Kramer,2023-02-27,Vêtements,407.54
T0082,Anthony Herrera,2023-02-27,Livres,480.77
T0083,Paul Thompson,2023-04-09,Maison,485.32
T0084,Jordan Wallace,2023-01-07,Vêtements,220.63
T0085,Timothy Zimmerman,2023-05-20,Jeux,111.4
T0086,Shawn Watkins,2023-06-27,Maison,279.93
T0087,Calvin Ellis,2023-01-30,Vêtements,314.62
T0088,Michael Reid,2023-02-27,Jeux,96.32
T0089,Kathy Butler,2023-05-19,Maison,370.98
T0090,Anthony Osborne,2023-05-31,Maison,445.21
T0091,Dr. Catherine Hunter,2023-02-06,Jeux,315.85
T0092,Jane Murphy,2023-02-25,Électronique,116.55
T0093,Robert Huang,2023-04-13,Jeux,80.61
T0094,Parker Young,2023-01-11,Jeux,28.66
T0095,Tracy Henry,2023-06-11,Vêtements,272.29
T0096,Christopher Lopez,2023-03-11,Maison,191.82
T0097,Jennifer Hunt,2023-06-02,Maison,189.79
T0098,Rodney Rose,2023-04-08,Jeux,68.2
T0099,Sherry Ellis,2023-04-09,Maison,253.32
T0100,Michael Robinson DVM,2023-06-07,Livres,326.65
