transaction_id,client,date,categorie,montant
T0048,John Weaver,2023-03-18,Électronique,10.5
T0049,Jennifer Brown,2023-01-29,Livres,498.47
T0050,Zachary Flynn,2023-06-21,Vêtements,346.41
T0051,James Parker,2023-04-11,Électronique,274.88
T0052,Thomas Wade,2023-03-09,Jeux,151.48
T0053,Charles Jones,2023-04-20,Jeux,91.23
T0054,Jody Baker,2023-04-23,Électronique,104.66
T0055,Tyrone Wright,2023-02-15,Maison,353.64
T0056,Tanya Hebert,2023-04-28,Électronique,334.91
T0057,Christian Gray,2023-03-24,Jeux,340.46
T0058,Heather Compton,2023-01-27,Vêtements,224.91
T0059,Jason Jennings,2023-01-19,Livres,73.49
T0060,Brandon Knight,2023-02-10,Livres,403.04
T0061,Kelly Poole,2023-03-21,Jeux,136.94
T0062,Kristine Neal,2023-05-21,Vêtements,489.47
T0063,Samantha Odonnell,2023-06-05,Jeux,169.68
T0064,Nicholas Lewis,2023-05-16,Maison,192.87
T0065,Eric Lyons,2023-05-12,Maison,29.55
T0066,David Johnson,2023-02-10,Jeux,471.21
T0067,Chloe Garcia,2023-02-13,Jeux,439.71
T0068,Amy Dyer,2023-05-14,Vêtements,467.75
T0069,Victoria Jones,2023-05-20,Maison,208.83
T0070,Sean Potts,2023-05-21,Jeux,242.66
T0071,Michael Bates,2023-01-23,Jeux,319.31
T0072,Kyle Roberts,2023-04-20,Livres,75.31
T0073,Rebecca Ferguson,2023-05-28,Électronique,297.56
T0074,Mr. Craig Price DDS,2023-02-08,Livres,230.98
T0075,Brittany Williams,2023-04-22,Jeux,140.25
T0076,Anthony Barber,2023-03-30,Jeux,269.1
T0077,James Lopez Jr.,2023-03-17,Maison,332.42
T0078,Keith Rivers,2023-04-05,Électronique,61.22
T0079,Ashley Shaffer,2023-05-03,Électronique,115.44
T0080,Louis Gomez,2023-05-14,Jeux,203.73
T0081,Kristina Cooper,2023-03-01,Vêtements,143.01
T0082,Alison Meyer,2023-05-27,Livres,63.96
T0083,James Riley,2023-06-14,Électronique,121.07
T0084,Maureen Smith DVM,2023-04-18,Vêtements,86.41
T0085,Austin Rice,2023-02-02,Jeux,138.48
T0086,Matthew Bryant,2023-06-08,Jeux,35.35
T0087,Monica Shaw,2023-02-18,Jeux,341.9
T0088,Nancy Kim,2023-05-30,Maison,281.76
T0089,James Allen,2023-05-12,Livres,315.93
T0090,David Robertson,2023-03-22,Livres,148.85
T0091,Rebecca Martinez,2023-01-15,Livres,417.53
T0092,Henry Terry,2023-03-21,Électronique,445.1
T0093,Christopher Stuart,2023-06-29,Jeux,291.67
T0094,Kelly Landry,2023-01-02,Maison,435.84
T0095,Ashley Small,2023-02-10,Jeux,421.14
T0096,Paula Hoover,2023-04-27,Vêtements,493.26
T0097,Kelly Clarke,2023-04-21,Vêtements,254.81
T0098,Christopher Walker,2023-01-09,Maison,257.31
T0099,Dana Cantrell,2023-02-04,Vêtements,473.91
T0100,Ryan Hale,2023-02-11,Jeux,208.55
T0101,Nicholas Jones,2023-04-08,Jeux,419.64
T0102,Sean Duncan,2023-01-07,Livres,282.37
T0103,Julie Malone,2023-01-24,Électronique,199.89
T0104,Gabriela James,2023-01-02,Électronique,205.3
T0105,Maria Cox,2023-02-13,Électronique,398.3
T0106,Paul Rodriguez,2023-06-14,Vêtements,164.03
T0107,Kyle Martin,2023-04-01,Maison,191.07
T0108,Sarah Smith,2023-02-14,Vêtements,110.99
T0109,Connie Harris,2023-06-15,Livres,193.64
T0110,Lee Cervantes,2023-03-04,Jeux,184.86
T0111,Melissa Dominguez,2023-03-30,Vêtements,266.63
T0112,Robert Douglas,2023-05-21,Maison,80.96
T0113,Yesenia Soto,2023-03-08,Électronique,437.24
T0114,David Dawson,2023-03-26,Livres,102.17
T0115,Justin Huff,2023-06-26,Maison,35.75
T0116,Alexander Jackson,2023-02-24,Maison,463.76
T0117,Madison Robbins,2023-01-11,Maison,157.21
T0118,Nicole Thomas,2023-06-09,Vêtements,419.75
T0119,Jeanette Smith,2023-05-30,Vêtements,386.23
T0120,Adrian Freeman,2023-06-17,Livres,329.5
T0121,Jason Lee,2023-05-07,Électronique,391.51
T0122,Eric Boone,2023-05-24,Électronique,433.34
T0123,Mrs. Ana Gardner,2023-06-26,Maison,420.36
T0124,Michael Hooper,2023-03-26,Vêtements,407.52
T0125,Victoria Dennis,2023-05-11,Vêtements,209.62
T0126,Sandra Bautista,2023-01-09,Livres,89.95
T0127,Katherine Roach,2023-01-14,Maison,314.21
T0128,Felicia Frazier,2023-02-01,Électronique,352.22
T0129,Ryan Montgomery,2023-05-16,Électronique,239.19
T0130,Elizabeth Tran,2023-03-20,Livres,212.75
T0131,John Holland,2023-01-10,Jeux,104.71
T0132,Jessica Duke,2023-05-27,Maison,425.21
T0133,Benjamin Jackson,2023-06-26,Livres,317.3
T0134,Angela Clarke,2023-04-14,Livres,18.6
T0135,Heather Tate,2023-05-29,Livres,37.65
T0136,Justin Moreno,2023-02-05,Vêtements,244.09
T0137,Nicole Silva,2023-06-11,Électronique,461.0
T0138,Denise Hernandez,2023-03-30,Vêtements,111.55
T0139,Mark Pierce,2023-04-22,Électronique,282.88
T0140,Michele Gomez,2023-05-05,Maison,272.26
T0141,Marcus Anderson,2023-02-21,Électronique,125.76
T0142,Robert Wright,2023-04-11,Jeux,374.98
T0143,Jeffrey Roberson,2023-03-27,Livres,310.38
T0144,Evelyn Davis,2023-01-16,Livres,139.21
T0145,Colin Vasquez,2023-01-01,Livres,418.73
T0146,Jennifer Greer,2023-05-06,Maison,297.51
T0147,James English,2023-02-02,Maison,432.58
T0148,Stephen Price,2023-05-05,Maison,135.05
T0149,Henry Davis,2023-04-23,Vêtements,435.5
T0150,Bruce Delgado,2023-05-15,Vêtements,322.17
T0151,Daniel Anderson,2023-05-16,Maison,295.76
T0152,Shane Hernandez,2023-01-13,Électronique,347.08
T0153,Lucas Logan,2023-01-15,Maison,474.84
T0154,Joshua Mccoy,2023-06-22,Électronique,374.99
T0155,Margaret Ewing,2023-06-14,Électronique,222.14
T0156,Christopher Hunter,2023-02-13,Jeux,258.95
T0157,Edwin Beasley,2023-02-19,Livres,46.35
T0158,Pam Ballard,2023-05-07,Électronique,424.69
T0159,Charles Martinez,2023-05-26,Livres,382.22
T0160,Tara Ortiz,2023-03-21,Électronique,112.09
T0161,Ebony Wood,2023-03-09,Jeux,253.15
T0162,Karen Huffman,2023-06-01,Jeux,200.18
T0163,Nathan Moore,2023-06-21,Jeux,132.86
T0164,Jonathan Gamble,2023-05-08,Vêtements,232.5
T0165,Wesley Johnson,2023-03-13,Livres,132.77
T0166,Sara Smith,2023-03-18,Électronique,310.79
T0167,Sarah Garcia,2023-03-03,Maison,127.71
T0168,David Reeves,2023-03-18,Maison,25.08
T0169,John Austin,2023-05-13,Vêtements,85.21
T0170,Anne David,2023-02-11,Jeux,422.46
T0171,Brian Smith,2023-05-05,Jeux,102.85
T0172,Tamara Spencer,2023-03-21,Maison,145.84
T0173,Benjamin Johnson,2023-05-07,Jeux,154.34
T0174,Gregory White,2023-05-05,Vêtements,120.61
T0175,Brandon Turner,2023-01-29,Électronique,482.33
T0176,Cody Kelly,2023-05-20,Jeux,435.55
T0177,Holly Taylor,2023-01-26,Électronique,384.86
T0178,Gary Shaw DDS,2023-04-29,Maison,122.67
T0179,Connor Williams,2023-04-20,Électronique,402.76
T0180,Lindsey Dunn,2023-04-29,Électronique,118.87
T0181,Jane Brooks,2023-01-01,Livres,271.73
T0182,Timothy Edwards,2023-02-18,Vêtements,42.87
T0183,Michael Marshall,2023-02-10,Vêtements,166.2
T0184,Joseph Bray,2023-06-09,Livres,109.3
T0185,Lucas Winters,2023-04-29,Livres,30.03
T0186,Jeffrey Chung,2023-04-18,Vêtements,145.35
T0187,Lisa Johnson,2023-04-03,Électronique,444.23
T0188,Patrick Campbell,2023-01-17,Jeux,358.14
T0189,April Barnes,2023-06-14,Électronique,290.21
T0190,Charles Robinson,2023-05-03,Jeux,162.58
T0191,Mr. Patrick Johnson MD,2023-02-15,Électronique,139.49
T0192,Erika Porter,2023-02-10,Électronique,102.77
T0193,Ms. Judith Morgan,2023-01-24,Jeux,277.43
T0194,Melissa Jones,2023-02-12,Électronique,37.2
T0195,Richard Powell,2023-05-24,Livres,244.64
T0196,Kristen Jones,2023-03-15,Livres,399.06
T0197,Paula Stokes,2023-03-04,Vêtements,484.54
T0198,Steve Farrell,2023-05-13,Maison,422.75
T0199,Richard Ballard,2023-06-19,Électronique,88.91
T0200,Tracy Mata,2023-04-14,Livres,450.68
T0201,Kenneth Reynolds,2023-03-04,Électronique,77.53
T0202,Joshua Burke,2023-03-19,Jeux,322.71
T0203,Crystal Bernard,2023-02-21,Électronique,237.86
T0204,Maria Carpenter,2023-04-17,Maison,217.68
T0205,Amanda Gomez,2023-01-12,Livres,22.81
T0206,Nathan Coleman,2023-06-29,Électronique,293.92
T0207,Bianca Lawson,2023-03-05,Livres,186.44
T0208,Ashley Quinn,2023-02-22,Jeux,282.86
T0209,Mrs. Jodi Ortiz,2023-01-24,Livres,76.88
T0210,William Schultz,2023-01-21,Électronique,184.05
T0211,Christopher Taylor,2023-03-31,Livres,387.62
T0212,Katherine Wood,2023-06-30,Jeux,204.65
T0213,Justin Reid,2023-06-30,Maison,80.95
T0214,Terry Thornton,2023-04-12,Livres,77.38
T0215,Jessica Herrera,2023-04-02,Jeux,104.74
T0216,Robert Peterson,2023-03-12,Vêtements,445.39
T0217,Jennifer Rodriguez,2023-01-05,Livres,134.0
T0218,Lindsey Summers,2023-05-22,Vêtements,468.91
T0219,Maria Harmon,2023-01-09,Électronique,233.62
T0220,Stephanie Haney,2023-02-11,Maison,412.35
T0221,Travis Maldonado,2023-05-02,Jeux,177.7
T0222,Shane Hurst,2023-03-20,Maison,450.98
T0223,Mathew Macdonald,2023-01-08,Électronique,433.15
T0224,James Gross,2023-06-20,Jeux,494.73
T0225,Cheryl Johnson,2023-04-11,Maison,299.14
T0226,Christopher Wright,2023-04-04,Électronique,11.52
T0227,Kevin Lee,2023-04-18,Jeux,269.0
T0228,Isaac Henderson,2023-02-03,Maison,352.02
T0229,Juan Keith,2023-02-09,Vêtements,220.34
T0230,Austin Carroll,2023-05-12,Électronique,63.61
T0231,Lisa Rivera,2023-01-05,Électronique,120.27
T0232,Patricia Richardson,2023-02-05,Maison,482.36
T0233,Jonathan Jacobs PhD,2023-06-01,Maison,40.34
T0234,April Long,2023-06-01,Électronique,207.56
T0235,William Frye,2023-05-27,Jeux,161.61
T0236,Dakota Glover,2023-02-11,Jeux,482.81
T0237,James Bowman,2023-04-01,Jeux,302.24
T0238,Cynthia Anderson,2023-04-13,Vêtements,214.7
T0239,Robert Chambers,2023-05-28,Vêtements,40.88
T0240,Brandon Gomez,2023-01-11,Vêtements,459.55
T0241,Ernest Cooper,2023-01-25,Livres,458.08
T0242,Patrick Phillips,2023-01-12,Électronique,232.63
T0243,Cheryl Washington,2023-02-19,Maison,274.78
T0244,Margaret Smith,2023-05-09,Maison,278.83
T0245,Wesley Wallace,2023-04-14,Livres,187.02
T0246,Linda Montgomery,2023-03-14,Vêtements,228.41
T0247,Dana Jones,2023-01-06,Maison,73.58
T0248,Arthur Carter,2023-06-18,Vêtements,148.95
T0249,Jessica Morrison,2023-06-10,Maison,301.01
T0250,Michelle Hernandez,2023-02-06,Vêtements,408.15
T0251,Joseph Owen,2023-04-03,Livres,113.66
T0252,Brian Hill,2023-06-05,Maison,240.81
T0253,Barbara Weber,2023-04-06,Jeux,223.37
T0254,Alan Fields,2023-06-24,Électronique,234.39
T0255,Gloria Neal,2023-02-06,Livres,281.97
T0256,Diane Walsh,2023-03-06,Maison,406.6
T0257,Edward Erickson,2023-05-12,Électronique,478.09
T0258,Michele Conley,2023-05-19,Livres,196.23
T0259,Justin Page,2023-01-29,Maison,18.4
T0260,Daniel Cobb,2023-06-08,Jeux,318.61
T0261,Tricia Fowler,2023-02-17,Vêtements,392.94
T0262,Nicholas Valdez,2023-06-04,Jeux,49.51
T0263,Katherine Morales,2023-01-08,Jeux,404.74
T0264,Ethan Fowler,2023-06-01,Électronique,319.28
T0265,Jerry Walls,2023-02-14,Jeux,227.37
T0266,Samuel Brown,2023-02-13,Livres,379.39
T0267,Kelly Hunt,2023-04-03,Maison,87.93
T0268,Ms. Joanne Ware PhD,2023-05-07,Maison,214.84
T0269,Mark Campbell,2023-03-18,Vêtements,499.84
T0270,Kimberly Cummings,2023-05-13,Maison,62.3
T0271,Jason Cannon,2023-03-26,Livres,335.94
T0272,Erica Smith,2023-02-18,Vêtements,133.53
T0273,Philip Weaver,2023-01-07,Électronique,294.85
T0274,Angela Clark,2023-06-20,Maison,310.15
T0275,Tiffany Lopez,2023-01-09,Maison,433.92
T0276,Brittany Velez,2023-02-22,Livres,340.42
T0277,Pamela Harvey,2023-01-08,Jeux,441.11
T0278,James Dunn,2023-05-18,Livres,21.08
T0279,Mark Nguyen,2023-05-23,Électronique,390.67
T0280,Christopher Wilson,2023-01-04,Jeux,463.82
T0281,John Holder,2023-05-03,Maison,224.37
T0282,Renee Miller,2023-06-07,Livres,437.48
T0283,Christopher Shepherd,2023-01-06,Jeux,428.99
T0284,Maurice Clark,2023-05-15,Jeux,69.68
T0285,Travis Moody,2023-05-29,Maison,88.49
T0286,Donna Oliver,2023-04-29,Électronique,210.29
T0287,William Jimenez,2023-03-10,Livres,433.78
T0288,Joyce Morris,2023-04-13,Vêtements,390.65
T0289,Robert James,2023-03-09,Vêtements,102.7
T0290,Sydney Ramirez,2023-02-25,Vêtements,212.51
T0291,Todd Rose,2023-04-28,Vêtements,382.88
T0292,Donald Reyes,2023-01-10,Livres,267.58
T0293,Kenneth Henry,2023-04-23,Livres,207.43
T0294,Joseph Carter,2023-02-23,Vêtements,206.08
T0295,Cole Barker,2023-05-01,Maison,256.63
T0296,Dr. Zachary English MD,2023-02-19,Vêtements,285.62
T0297,Sarah Hughes,2023-06-01,Vêtements,311.6
T0298,Veronica Kelly,2023-03-11,Maison,486.32
T0299,Don Young,2023-03-21,Livres,93.27
T0300,Sarah Coleman,2023-03-27,Vêtements,213.88
T0301,Sarah Spears,2023-02-12,Livres,36.74
T0302,Cynthia Miles MD,2023-06-16,Maison,410.25
T0303,Christopher Harrison,2023-01-22,Maison,28.97
T0304,Daniel Davis,2023-04-12,Maison,113.41
T0305,Alison Parker,2023-05-03,Jeux,406.37
T0306,Jordan Morrow,2023-05-23,Maison,282.35
T0307,John Deleon,2023-03-19,Livres,15.76
T0308,Mark Kelly,2023-02-16,Électronique,488.08
T0309,Susan Williams,2023-03-01,Jeux,273.06
T0310,John Perry,2023-04-05,Vêtements,190.11
T0311,Laurie Hutchinson,2023-02-04,Vêtements,260.48
T0312,Gary Hayes,2023-04-09,Électronique,208.41
T0313,Lindsay Ramsey,2023-03-04,Électronique,380.04
T0314,Karen Brennan,2023-05-05,Électronique,218.72
T0315,Melanie Costa,2023-02-20,Électronique,197.74
T0316,Mary Gardner,2023-05-31,Jeux,204.71
T0317,Erica Chen,2023-04-16,Vêtements,419.39
T0318,Tanya Sanders,2023-04-15,Livres,102.23
T0319,Randall Fisher,2023-04-04,Livres,90.26
T0320,Michelle Barnett,2023-06-10,Jeux,170.12
T0321,Jason Moon,2023-01-05,Jeux,26.68
T0322,Beth Thomas,2023-06-20,Livres,206.6
T0323,Kevin Gomez,2023-05-17,Livres,260.54
T0324,Michael Powers,2023-05-29,Vêtements,259.01
T0325,Abigail Douglas,2023-06-20,Maison,311.89
T0326,Jamie Moore,2023-02-04,Vêtements,250.17
T0327,Tamara Montgomery,2023-02-27,Électronique,74.48
T0328,Luke Wade,2023-02-17,Jeux,68.58
T0329,Charles Williams,2023-05-12,Livres,192.54
T0330,Rebecca Davis,2023-01-02,Électronique,465.91
T0331,Angela Bates,2023-01-30,Maison,178.36
T0332,Elizabeth Long,2023-05-22,Maison,344.77
T0333,Debra Cameron,2023-04-24,Vêtements,362.96
T0334,Joe Snyder,2023-02-04,Jeux,209.23
T0335,Shawn Savage,2023-06-02,Jeux,297.69
T0336,Wendy Gray,2023-05-17,Électronique,262.75
T0337,Hector Stark,2023-01-29,Vêtements,55.56
T0338,Robert Murray,2023-05-21,Livres,32.22
T0339,Tammy Henderson,2023-03-22,Électronique,494.28
T0340,John Neal,2023-03-10,Vêtements,181.4
T0341,Dylan Lynn,2023-04-27,Maison,26.41
T0342,Bobby Bonilla,2023-03-30,Maison,87.74
T0343,Steven Taylor,2023-01-02,Jeux,161.25
T0344,Stacy Dickerson,2023-05-14,Vêtements,283.43
T0345,Barbara Ward,2023-03-03,Livres,382.22
T0346,Angela Robinson,2023-02-22,Livres,230.05
T0347,David Dixon,2023-02-06,Livres,353.6
T0348,Brandon Wheeler,2023-05-03,Livres,256.12
T0349,Makayla Vang,2023-01-21,Jeux,448.07
T0350,Tammy Clark,2023-05-02,Livres,94.84
T0351,Jessica Jimenez,2023-03-21,Livres,415.52
T0352,Melanie Peters,2023-02-22,Électronique,23.28
T0353,Andrew Soto,2023-02-10,Jeux,115.39
T0354,John Hoover,2023-03-24,Livres,116.6
T0355,Norma Freeman,2023-01-07,Livres,337.26
T0356,Thomas Reynolds,2023-03-22,Maison,229.78
T0357,Sherri Gay,2023-03-10,Maison,290.81
T0358,Jessica Marks,2023-02-15,Maison,441.01
T0359,Cheyenne Johnson,2023-03-05,Maison,54.21
T0360,Eric Vang,2023-01-21,Maison,299.54
T0361,Barbara Smith,2023-03-10,Jeux,266.45
T0362,Melanie Kaiser,2023-02-02,Vêtements,350.76
T0363,Richard Thomas,2023-03-28,Maison,299.08
T0364,Suzanne Richardson,2023-04-02,Vêtements,438.72
T0365,Richard Walker,2023-06-01,Jeux,76.53
T0366,Jerome Brady,2023-01-22,Vêtements,43.92
T0367,Whitney Chambers,2023-01-11,Vêtements,93.42
T0368,Christian Bruce,2023-01-04,Maison,205.59
T0369,Michael Duran,2023-01-06,Vêtements,499.5
T0370,Tara Mcgee DVM,2023-05-26,Électronique,285.55
T0371,Maria Campbell,2023-06-07,Maison,111.26
T0372,Paul Jensen,2023-03-07,Livres,35.54
T0373,Mary Baxter,2023-02-10,Livres,451.47
T0374,Sara Kelley,2023-04-04,Livres,424.35
T0375,Mrs. Robin Osborne,2023-02-11,Vêtements,154.08
T0376,Caleb Baxter,2023-01-15,Vêtements,215.76
T0377,Matthew Williams,2023-02-28,Livres,409.0
T0378,Karen Fowler,2023-03-21,Électronique,209.97
T0379,Kimberly Gilbert,2023-06-14,Jeux,132.86
T0380,Samantha Brown,2023-02-12,Électronique,464.04
T0381,Timothy Anderson,2023-06-04,Électronique,73.27
T0382,Vanessa Anderson,2023-04-26,Jeux,451.69
T0383,Sharon Fletcher,2023-03-28,Vêtements,377.49
T0384,Sarah Jackson,2023-03-16,Vêtements,418.65
T0385,Matthew Alvarez,2023-06-16,Maison,29.55
T0386,Danielle Hughes,2023-02-05,Électronique,420.6
T0387,Roger Martin,2023-05-14,Électronique,12.32
T0388,Stephanie Patterson,2023-03-28,Électronique,24.92
T0389,Hailey Lynch,2023-05-22,Livres,35.89
T0390,Michelle Willis,2023-04-19,Jeux,302.14
T0391,April Tucker,2023-05-22,Jeux,56.16
T0392,Martin Hughes,2023-03-20,Maison,405.38
T0393,Meredith Hansen,2023-01-11,Jeux,183.58
T0394,Ashley Anderson,2023-06-20,Électronique,432.57
T0395,Mrs. Lauren Jones,2023-04-12,Livres,389.88
T0396,James Thomas,2023-04-19,Livres,454.57
T0397,Kenneth Richards,2023-04-26,Vêtements,56.63
T0398,Dominique Church,2023-03-25,Vêtements,279.67
T0399,Brenda Bond,2023-03-29,Vêtements,187.65
T0400,Kyle Orr,2023-03-08,Jeux,310.15
T0401,Kyle Cook,2023-04-12,Maison,406.62
T0402,Michael Jarvis,2023-01-17,Jeux,254.77
T0403,Amber Gray,2023-06-30,Jeux,471.86
T0404,Danielle Ruiz,2023-05-26,Livres,411.66
T0405,Jack Taylor,2023-04-09,Maison,49.24
T0406,Ivan Smith,2023-05-02,Électronique,204.39
T0407,Janice Wiley,2023-03-18,Livres,284.26
T0408,Brett Brewer,2023-03-17,Vêtements,231.67
T0409,Sara Merritt,2023-06-16,Électronique,293.87
T0410,Brandon Stephens,2023-06-06,Livres,114.42
T0411,Joanne Peters,2023-02-14,Électronique,92.66
T0412,Kim Montgomery,2023-03-26,Jeux,32.97
T0413,Mitchell Munoz,2023-06-22,Vêtements,401.49
T0414,Steven Hernandez,2023-05-25,Maison,295.35
T0415,Amanda Fisher,2023-03-16,Électronique,357.67
T0416,Robert Harrison,2023-04-04,Livres,69.4
T0417,Linda Randolph,2023-05-12,Électronique,308.68
T0418,David Boyd,2023-03-09,Livres,109.93
T0419,Kyle Malone,2023-01-18,Électronique,413.01
T0420,Stacy Williams,2023-04-04,Électronique,317.92
T0421,John Osborne,2023-03-20,Vêtements,212.78
T0422,Scott Ferguson,2023-04-24,Livres,109.2
T0423,Amanda Small,2023-01-03,Vêtements,419.83
T0424,Patricia Kennedy,2023-01-06,Électronique,446.28
T0425,Steven Johns,2023-03-27,Électronique,200.22
T0426,Maureen Singh,2023-06-06,Vêtements,433.13
T0427,Thomas Warren,2023-03-31,Livres,350.47
T0428,Erin Taylor,2023-02-27,Livres,19.25
T0429,David Allen,2023-02-20,Livres,459.9
T0430,John Brown,2023-03-10,Jeux,148.71
T0431,Kyle Moore,2023-01-22,Jeux,215.19
T0432,Susan Smith,2023-03-18,Vêtements,104.47
T0433,Charles Thompson,2023-02-06,Vêtements,363.88
T0434,Lori Kelly,2023-02-26,Maison,33.94
T0435,Katie Burgess,2023-03-07,Maison,315.51
T0436,Gregory Barrera,2023-05-10,Vêtements,117.51
T0437,Kimberly Le,2023-02-24,Maison,140.03
T0438,Elizabeth Johnson,2023-06-09,Maison,315.68
T0439,Kevin Barr,2023-01-25,Électronique,456.11
T0440,David Newman,2023-06-20,Maison,10.09
T0441,Todd Bird,2023-04-18,Maison,376.9
T0442,Zachary Sanders,2023-04-07,Vêtements,153.27
T0443,Steven Osborne,2023-02-03,Électronique,96.74
T0444,Juan Williams,2023-03-12,Maison,16.85
T0445,Wayne Roberson,2023-06-20,Jeux,166.96
T0446,Chris Walker,2023-04-29,Livres,236.87
T0447,Brandi Sanders,2023-04-14,Électronique,132.84
T0448,Jennifer Jones,2023-02-28,Livres,244.92
T0449,James Hernandez,2023-04-08,Jeux,136.03
T0450,Michael Cooper,2023-03-26,Électronique,247.43
T0451,Alexandra Lewis,2023-02-06,Jeux,265.0
T0452,Laura Montgomery,2023-06-13,Livres,52.51
T0453,Joyce Thompson,2023-06-13,Livres,148.91
T0454,Michael Myers,2023-03-28,Vêtements,329.82
T0455,Kelly Davis,2023-04-09,Maison,69.43
T0456,Elizabeth Anderson,2023-04-18,Électronique,360.41
T0457,Walter Taylor,2023-03-17,Maison,134.75
T0458,Andrew Hicks,2023-01-28,Jeux,223.76
T0459,Daniel Gibbs,2023-03-18,Livres,93.2
T0460,Pamela Schultz MD,2023-02-17,Jeux,42.7
T0461,Isaac Brown,2023-03-09,Vêtements,158.64
T0462,Amy Mcdowell,2023-02-03,Livres,234.58
T0463,Frank Sanchez,2023-05-06,Électronique,146.55
T0464,George Mccarthy,2023-06-20,Jeux,236.91
T0465,Erin Guerrero,2023-02-25,Livres,246.68
T0466,Chelsea Montgomery,2023-01-25,Jeux,343.19
T0467,Austin Woods,2023-06-27,Électronique,132.99
T0468,Kristopher Colon,2023-03-09,Électronique,194.81
T0469,Michael Acosta,2023-01-06,Jeux,401.63
T0470,Elizabeth Sexton,2023-03-08,Jeux,29.05
T0471,Max Spence,2023-01-26,Électronique,246.7
T0472,Ebony Brown,2023-03-31,Jeux,39.96
T0473,Tammy Lopez,2023-05-03,Jeux,279.59
T0474,Joseph Crawford,2023-04-11,Maison,332.38
T0475,Charles Fox,2023-05-02,Vêtements,60.4
T0476,Cody Green,2023-03-30,Maison,279.98
T0477,Edward Mcconnell,2023-03-25,Maison,397.21
T0478,Rachel Anderson,2023-04-20,Livres,287.67
T0479,Tracy Thompson,2023-03-01,Électronique,488.39
T0480,Marilyn Johnson,2023-03-21,Électronique,489.46
T0481,Morgan Contreras,2023-05-07,Jeux,384.17
T0482,Robert Middleton,2023-04-02,Jeux,212.24
T0483,Timothy Smith,2023-04-26,Livres,20.36
T0484,Victoria Anderson,2023-03-09,Vêtements,408.33
T0485,Thomas Turner,2023-05-27,Maison,58.93
T0486,Holly Brown,2023-05-20,Électronique,398.7
T0487,Misty Edwards,2023-04-06,Vêtements,129.41
T0488,David Guerrero,2023-05-08,Jeux,278.01
T0489,Allison Ortega,2023-04-03,Électronique,37.85
T0490,Loretta Sutton,2023-02-10,Vêtements,26.78
T0491,Jonathan Krause,2023-03-29,Électronique,444.77
T0492,Valerie Cook,2023-02-08,Livres,64.21
T0493,Brittany Myers,2023-01-07,Maison,430.07
T0494,Karen Reed,2023-01-18,Livres,253.31
T0495,April Russell,2023-06-17,Jeux,178.93
T0496,Edward White,2023-03-27,Livres,345.23
T0497,Diana Garcia,2023-04-26,Jeux,46.41
